繊維工業,佐賀県,"24,351"
繊維工業,長崎県,"28,483"
繊維工業,熊本県,"28,593"
繊維工業,大分県,"20,344"
繊維工業,宮崎県,"89,340"
繊維工業,鹿児島県,"13,085"
繊維工業,沖縄県,"3,727"
木材・木製品製造業（家具を除く）,北海道,"169,330"
木材・木製品製造業（家具を除く）,青森県,"18,687"
木材・木製品製造業（家具を除く）,岩手県,"59,778"
木材・木製品製造業（家具を除く）,宮城県,"84,741"
木材・木製品製造業（家具を除く）,秋田県,"69,038"
木材・木製品製造業（家具を除く）,山形県,"23,197"
木材・木製品製造業（家具を除く）,福島県,"59,341"
木材・木製品製造業（家具を除く）,茨城県,"167,490"
木材・木製品製造業（家具を除く）,栃木県,"100,081"
木材・木製品製造業（家具を除く）,群馬県,"73,889"
木材・木製品製造業（家具を除く）,埼玉県,"67,670"
木材・木製品製造業（家具を除く）,千葉県,"70,502"
木材・木製品製造業（家具を除く）,東京都,"10,766"
木材・木製品製造業（家具を除く）,神奈川県,"21,423"
木材・木製品製造業（家具を除く）,新潟県,"32,537"
木材・木製品製造業（家具を除く）,富山県,"33,511"
木材・木製品製造業（家具を除く）,石川県,"24,638"
木材・木製品製造業（家具を除く）,福井県,"79,850"
木材・木製品製造業（家具を除く）,山梨県,"8,882"
木材・木製品製造業（家具を除く）,長野県,"29,249"
木材・木製品製造業（家具を除く）,岐阜県,"71,838"
木材・木製品製造業（家具を除く）,静岡県,"210,794"
木材・木製品製造業（家具を除く）,愛知県,"142,973"
木材・木製品製造業（家具を除く）,三重県,"81,716"
木材・木製品製造業（家具を除く）,滋賀県,"32,603"
木材・木製品製造業（家具を除く）,京都府,"57,710"
木材・木製品製造業（家具を除く）,大阪府,"93,410"
木材・木製品製造業（家具を除く）,兵庫県,"55,590"
木材・木製品製造業（家具を除く）,奈良県,"53,985"
木材・木製品製造業（家具を除く）,和歌山県,"38,609"
木材・木製品製造業（家具を除く）,鳥取県,"23,926"
木材・木製品製造業（家具を除く）,島根県,"45,761"
木材・木製品製造業（家具を除く）,岡山県,"85,678"
木材・木製品製造業（家具を除く）,広島県,"161,658"
木材・木製品製造業（家具を除く）,山口県,"46,631"
木材・木製品製造業（家具を除く）,徳島県,"39,599"
木材・木製品製造業（家具を除く）,香川県,"61,126"
木材・木製品製造業（家具を除く）,愛媛県,"36,737"
木材・木製品製造業（家具を除く）,高知県,"21,670"
木材・木製品製造業（家具を除く）,福岡県,"55,135"
木材・木製品製造業（家具を除く）,佐賀県,"27,860"
木材・木製品製造業（家具を除く）,長崎県,"6,818"
木材・木製品製造業（家具を除く）,熊本県,"43,534"
木材・木製品製造業（家具を除く）,大分県,"29,886"
木材・木製品製造業（家具を除く）,宮崎県,"58,520"
木材・木製品製造業（家具を除く）,鹿児島県,"20,629"
木材・木製品製造業（家具を除く）,沖縄県,"1,752"
木材・木製品製造業（家具を除く）,札幌市,"1,467"
木材・木製品製造業（家具を除く）,仙台市,321
木材・木製品製造業（家具を除く）,さいたま市,X
木材・木製品製造業（家具を除く）,千葉市,"20,394"
木材・木製品製造業（家具を除く）,東京特別区,"9,462"
木材・木製品製造業（家具を除く）,横浜市,"11,074"
木材・木製品製造業（家具を除く）,川崎市,X
木材・木製品製造業（家具を除く）,相模原市,"1,319"
木材・木製品製造業（家具を除く）,新潟市,"13,661"
木材・木製品製造業（家具を除く）,静岡市,"28,873"
木材・木製品製造業（家具を除く）,浜松市,"10,516"
木材・木製品製造業（家具を除く）,名古屋市,"24,495"
木材・木製品製造業（家具を除く）,京都市,"10,360"
木材・木製品製造業（家具を除く）,大阪市,"15,003"
木材・木製品製造業（家具を除く）,堺市,"20,517"
木材・木製品製造業（家具を除く）,神戸市,"2,074"
木材・木製品製造業（家具を除く）,岡山市,"19,809"
木材・木製品製造業（家具を除く）,広島市,"7,493"
木材・木製品製造業（家具を除く）,北九州市,"6,898"
木材・木製品製造業（家具を除く）,福岡市,"5,739"
木材・木製品製造業（家具を除く）,熊本市,"2,769"
家具・装備品製造業,全国計,"1,912,535"
家具・装備品製造業,全国計,"1,964,964"
家具・装備品製造業,全国計,"1,956,721"
家具・装備品製造業,全国計,"1,943,036"
家具・装備品製造業,全国計,"1,985,835"
家具・装備品製造業,北海道,"44,603"
家具・装備品製造業,青森県,"5,480"
家具・装備品製造業,岩手県,"6,376"
家具・装備品製造業,宮城県,"11,244"
家具・装備品製造業,秋田県,"10,101"
家具・装備品製造業,山形県,"25,721"
家具・装備品製造業,福島県,"54,568"
家具・装備品製造業,茨城県,"62,168"
家具・装備品製造業,栃木県,"51,672"
家具・装備品製造業,群馬県,"42,890"
家具・装備品製造業,埼玉県,"140,303"
家具・装備品製造業,千葉県,"98,195"
家具・装備品製造業,東京都,"118,017"
家具・装備品製造業,神奈川県,"74,279"
家具・装備品製造業,新潟県,"43,761"
家具・装備品製造業,富山県,"37,838"
家具・装備品製造業,石川県,"62,590"
家具・装備品製造業,福井県,"15,560"
家具・装備品製造業,山梨県,"7,297"
家具・装備品製造業,長野県,"23,973"
家具・装備品製造業,岐阜県,"107,402"
家具・装備品製造業,静岡県,"101,536"
家具・装備品製造業,愛知県,"141,159"
家具・装備品製造業,三重県,"40,888"
家具・装備品製造業,滋賀県,"62,871"
家具・装備品製造業,京都府,"20,482"
家具・装備品製造業,大阪府,"171,250"
家具・装備品製造業,兵庫県,"70,110"
家具・装備品製造業,奈良県,"30,244"
家具・装備品製造業,和歌山県,"16,067"
家具・装備品製造業,鳥取県,"2,114"
家具・装備品製造業,島根県,"7,397"
家具・装備品製造業,岡山県,"32,476"
家具・装備品製造業,広島県,"39,950"
家具・装備品製造業,山口県,"3,698"
家具・装備品製造業,徳島県,"28,560"
家具・装備品製造業,香川県,"12,817"
家具・装備品製造業,愛媛県,"7,277"
家具・装備品製造業,高知県,"3,981"
家具・装備品製造業,福岡県,"78,888"
家具・装備品製造業,佐賀県,"29,023"
家具・装備品製造業,長崎県,"5,273"
家具・装備品製造業,熊本県,"9,972"
家具・装備品製造業,大分県,"10,710"
家具・装備品製造業,宮崎県,"5,884"
家具・装備品製造業,鹿児島県,"4,628"
家具・装備品製造業,沖縄県,"4,541"
家具・装備品製造業,札幌市,"12,356"
家具・装備品製造業,仙台市,"4,356"
家具・装備品製造業,さいたま市,"5,637"
家具・装備品製造業,千葉市,"4,657"
家具・装備品製造業,東京特別区,"30,116"
家具・装備品製造業,横浜市,"11,258"
家具・装備品製造業,川崎市,"1,223"
家具・装備品製造業,相模原市,"2,397"
家具・装備品製造業,新潟市,"7,269"
家具・装備品製造業,静岡市,"17,331"
家具・装備品製造業,浜松市,"10,480"
家具・装備品製造業,名古屋市,"23,250"
家具・装備品製造業,京都市,"13,653"
家具・装備品製造業,大阪市,"17,366"
家具・装備品製造業,堺市,"32,829"
家具・装備品製造業,神戸市,"3,940"
家具・装備品製造業,岡山市,"4,387"
家具・装備品製造業,広島市,"9,431"
家具・装備品製造業,北九州市,"6,581"
家具・装備品製造業,福岡市,"2,612"
家具・装備品製造業,熊本市,"2,567"
パルプ・紙・紙加工品製造業,全国計,"7,279,150"
パルプ・紙・紙加工品製造業,全国計,"7,273,125"
パルプ・紙・紙加工品製造業,全国計,"7,383,746"
パルプ・紙・紙加工品製造業,全国計,"7,548,422"
パルプ・紙・紙加工品製造業,全国計,"7,687,869"
パルプ・紙・紙加工品製造業,北海道,"387,427"
パルプ・紙・紙加工品製造業,青森県,"100,813"
パルプ・紙・紙加工品製造業,岩手県,"56,218"
パルプ・紙・紙加工品製造業,宮城県,"189,072"
パルプ・紙・紙加工品製造業,秋田県,"38,748"
パルプ・紙・紙加工品製造業,山形県,"23,723"
パルプ・紙・紙加工品製造業,福島県,"209,387"
パルプ・紙・紙加工品製造業,茨城県,"247,335"
パルプ・紙・紙加工品製造業,栃木県,"276,316"
パルプ・紙・紙加工品製造業,群馬県,"91,379"
パルプ・紙・紙加工品製造業,埼玉県,"504,161"
パルプ・紙・紙加工品製造業,千葉県,"141,914"
パルプ・紙・紙加工品製造業,東京都,"137,437"
パルプ・紙・紙加工品製造業,神奈川県,"223,419"
パルプ・紙・紙加工品製造業,新潟県,"211,992"
パルプ・紙・紙加工品製造業,富山県,"151,787"
パルプ・紙・紙加工品製造業,石川県,"25,306"
パルプ・紙・紙加工品製造業,福井県,"87,633"
パルプ・紙・紙加工品製造業,山梨県,"22,917"
パルプ・紙・紙加工品製造業,長野県,"81,596"
パルプ・紙・紙加工品製造業,岐阜県,"224,785"
パルプ・紙・紙加工品製造業,静岡県,"870,947"
パルプ・紙・紙加工品製造業,愛知県,"453,006"
パルプ・紙・紙加工品製造業,三重県,"91,844"
